Time,Power
1,0.06
2,0.042
3,0.069
4,0.042
5,0.06
6,0.06
7,0.072
8,0.048
9,0.042
10,0.06
11,0.06
12,0.042
13,0.06
14,0.06
15,0.057
16,0.057
17,0.069
18,0.06
19,0.051
20,0.063
21,0.063
22,0.06
23,0.063
24,0.063
25,0.057
26,0.06
27,0.063
28,0.06
29,0.048
30,0.06
31,0.075
32,0.066
33,0.054
34,0.054
35,0.189
36,0.144
37,0.144
38,0.147
39,0.132
40,0.153
41,0.15
42,0.123
43,0.117
44,0.165
45,0.198
46,0.123
47,0.111
48,0.108
49,0.099
50,0.102
51,0.096
52,0.09
53,0.087
