Time,Power
1,0.03
2,0.039
3,0.039
4,0.036
5,0.036
6,0.036
7,0.033
8,0.036
9,0.036
10,0.033
11,0.033
12,0.036
13,0.039
14,0.03
15,0.033
16,0.027
17,0.036
18,0.036
19,0.042
20,0.03
21,0.036
22,0.033
23,0.033
24,0.03
25,0.03
26,0.03
27,0.03
28,0.027
29,0.03
30,0.03
31,0.03
32,0.03
33,0.03
34,0.027
35,0.042
36,0.024
37,0.039
38,0.042
39,0.051
40,0.06
41,0.054
42,0.045
43,0.054
44,0.045
45,0.063
46,0.051
47,0.033
48,0.036
49,0.036
50,0.039
51,0.027
52,0.027
53,0.027
54,0.033
55,0.021
56,0.027
57,0.033
58,0.024
59,0.03
60,0.063
61,0.027
