Time,Power
1,0.042
2,0.045
3,0.045
4,0.042
5,0.078
6,0.06
7,0.051
8,0.048
9,0.066
10,0.033
11,0.042
12,0.042
13,0.045
14,0.045
15,0.06
16,0.042
17,0.051
18,0.036
19,0.036
20,0
21,0.033
22,0.045
23,0.042
24,0.03
25,0.042
26,0.042
27,0.015
28,0.036
29,0.063
30,0.051
31,0.045
32,0.036
33,0.048
34,0.048
35,0.048
36,0.048
37,0.048
38,0.054
39,0.075
40,0.051
41,0.048
42,0.042
43,0.072
44,0.057
45,0.054
46,0.054
47,0.051
48,0.051
49,0.051
50,0.051
51,0.045
52,0.069
53,0.057
54,0.048
55,0.051
56,0.09
57,0.054
58,0.039
59,0.018
60,0.066
61,0.048
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
