Time,Power
1,0.084
2,0.117
3,0.279
4,0.285
5,0.153
6,0.27
7,0.192
8,0.126
9,0.075
10,0.198
11,0.12
12,0.237
13,0.138
14,0.159
15,0.219
16,0.135
17,0.171
18,0.174
19,0.186
20,0.153
21,0.198
22,0.147
23,0.099
24,0.204
25,0.18
26,0.18
27,0.201
28,0.141
29,0.168
30,0.159
31,0.171
32,0.123
33,0.207
34,0.18
35,0.132
36,0.15
37,0.168
38,0.117
39,0.156
40,0.201
41,0.129
42,0.198
43,0.288
44,0.294
45,0.375
46,0.114
47,0.159
48,0.174
49,0.231
50,0.162
51,0.219
52,0.183
53,0.057
54,0.18
55,0.321
56,0.327
57,0.369
58,0.045
59,0.192
60,0.159
61,0.231
62,0.195
63,0.141
64,0.126
65,0.228
66,0.177
67,0.078
68,0.144
69,0.189
70,0.21
71,0.531
72,0.327
73,0.246
74,0.165
75,0.237
76,0.189
77,0.174
78,0.129
79,0.192
80,0.246
81,0.216
82,0.27
83,0.318
84,0.261
85,0.042
86,0.087
