Time,Power
1,0.084
2,0.108
3,0.111
4,0.12
5,0.108
6,0.162
7,0.108
8,0.117
9,0.108
10,0.117
11,0.126
12,0.135
13,0.117
14,0.093
15,0.117
16,0.099
17,0.072
18,0.105
19,0.075
20,0.075
21,0.072
22,0.075
23,0.066
24,0.066
25,0.06
26,0.093
27,0.075
28,0.072
29,0.069
30,0.066
31,0.063
32,0.081
33,0.042
34,0.042
35,0.072
36,0.054
37,0.057
38,0.084
39,0.057
40,0.066
41,0.063
42,0.06
43,0.06
44,0.051
45,0.06
46,0.069
47,0.066
48,0.075
49,0.057
50,0.054
51,0.054
52,0.051
53,0.054
54,0.063
55,0.051
56,0.06
57,0.048
58,0.051
59,0.048
60,0.054
61,0.051
62,0.051
63,0.048
64,0.048
65,0.039
66,0.039
67,0.063
68,0.027
69,0.039
70,0.042
71,0.042
72,0.042
73,0.042
74,0.039
75,0.042
76,0.042
77,0.036
78,0.036
79,0.036
80,0.03
81,0.033
82,0.033
83,0.036
84,0.03
85,0.03
86,0.024
87,0.03
88,0.027
