Time,Power
1,0.048
2,0.108
3,0.153
4,0.237
5,0.27
6,0.849
7,1.371
8,1.233
9,1.176
10,1.227
11,1.227
12,0.309
13,0.198
14,0.189
15,0.174
16,0.123
17,0.252
18,0.141
19,0.177
20,0.204
21,0.111
22,0.09
23,0.084
24,0.138
25,0.144
26,0.243
27,0.183
28,0.132
29,0.105
30,0.087
31,0.138
32,0.234
33,0.186
34,0.234
35,0.066
36,0.129
37,0.243
38,0.195
39,0.144
40,0.198
41,0.198
42,0.183
43,0.117
44,0.177
45,0.297
46,0.327
47,0.24
48,0.117
49,0.294
50,0.192
51,0.201
52,0.174
53,0.186
54,0.219
55,0.084
56,0.186
57,0.312
58,0.471
59,0.366
60,0.126
61,0.147
62,0.201
63,0.12
64,0.165
65,0.195
66,0.138
67,0.222
68,0.126
69,0.102
70,0.147
71,0.195
72,0.111
73,0.327
74,0.468
75,0.345
76,0.081
77,0.174
78,0.189
79,0.162
80,0.258
81,0.237
82,0.339
83,0.33
84,0.261
85,0.045
86,0.078
