Time,Power
226,0.165
227,0.123
228,0.147
229,0.171
230,0.147
231,0.153
232,0.147
233,0.153
234,0.15
235,0.141
236,0.129
237,0.144
238,0.153
239,0.147
240,0.084
241,0.144
242,0.123
243,0.111
244,0.039
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0.087
272,0.156
273,0.144
274,0.126
275,0.141
276,0.129
277,0.135
278,0.147
279,0.138
280,0.144
281,0.141
282,0.165
283,0.138
284,0.147
285,0.138
286,0.153
287,0.168
288,0.141
289,0.144
290,0.147
291,0.147
292,0.141
293,0.009
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0.078
321,0.153
322,0.159
323,0.192
324,0.144
325,0.144
326,0.141
327,0.144
328,0.117
329,0.153
330,0.15
331,0.135
332,0.165
333,0.135
334,0.144
335,0.159
336,0.135
337,0.153
338,0.153
339,0.114
340,0.144
341,0.045
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0.048
369,0.162
370,0.138
371,0.141
372,0.072
373,0.156
374,0.141
375,0.165
376,0.126
377,0.141
378,0.132
379,0.126
380,0.132
381,0.15
382,0.141
383,0.15
384,0.123
385,0.132
386,0.141
387,0.144
388,0.138
389,0.138
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0.159
418,0.144
419,0.156
420,0.15
421,0.123
422,0.165
423,0.111
424,0.168
425,0.135
426,0.141
427,0.141
428,0.153
429,0.135
430,0.138
431,0.141
432,0.141
433,0.141
434,0.129
435,0.144
436,0.135
437,0.129
438,0.048
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0.024
466,0.222
467,0.189
468,0.156
469,0.156
470,0.156
471,0.147
472,0.144
473,0.156
474,0.147
475,0.135
476,0.174
477,0.156
478,0.144
479,0.147
480,0.105
481,0.153
482,0.156
483,0.147
484,0.177
485,0.126
486,0.129
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0.099
515,0.177
516,0.153
517,0.147
518,0.114
519,0.156
520,0.15
521,0.123
522,0.129
523,0.153
524,0.138
525,0.138
526,0.174
527,0.141
528,0.141
529,0.15
530,0.144
531,0.123
532,0.156
533,0.138
534,0.138
535,0.018
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0.033
563,0.18
564,0.15
565,0.147
566,0.147
567,0.144
568,0.129
569,0.156
570,0.141
571,0.141
572,0.12
573,0.09
574,0.141
575,0.144
576,0.144
577,0.141
578,0.141
579,0.138
580,0.138
581,0.129
582,0.12
583,0.123
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0.156
612,0.153
613,0.159
614,0.144
615,0.171
616,0.15
617,0.147
618,0.156
619,0.141
620,0.144
621,0.138
622,0.141
623,0.165
624,0.165
625,0.168
626,0.138
627,0.132
628,0.168
629,0.132
630,0.138
631,0.108
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0.108
660,0.153
661,0.153
662,0.147
663,0.144
664,0.12
665,0.141
666,0.138
667,0.15
668,0.132
669,0.174
670,0.198
671,0.171
672,0.174
673,0.168
674,0.141
675,0.144
676,0.147
677,0.144
678,0.135
679,0.123
680,0.012
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0.063
708,0.111
709,0.186
710,0.168
711,0.186
712,0.126
713,0.126
714,0.153
715,0.147
716,0.15
717,0.12
718,0.147
719,0.159
720,0.102
721,0.123
722,0.108
723,0.165
724,0.174
725,0.153
726,0.141
727,0.153
728,0.135
729,0.123
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0.114
757,0.171
758,0.144
759,0.156
760,0.15
761,0.117
762,0.114
763,0.156
764,0.141
765,0.135
766,0.153
767,0.165
768,0.171
769,0.135
770,0.132
771,0.144
772,0.195
773,0.195
774,0.192
775,0.201
776,0.195
777,0.189
778,0.201
779,0.183
780,0.159
781,0.201
782,0.24
783,0.171
784,0.183
785,0.228
786,0.168
787,0.078
788,0.168
789,0.195
790,0.18
791,0.168
792,0.126
793,0.189
794,0.183
795,0.18
796,0.186
797,0.015
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0.237
807,0.186
808,0.255
809,0.219
810,0.201
811,0.201
812,0.207
813,0.177
814,0.195
815,0.138
816,0.159
817,0.162
818,0.168
819,0.171
820,0.171
821,0.138
822,0.162
823,0.174
824,0.114
825,0.165
