Time,Power
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.186
16,0.174
17,0.189
18,0.174
19,0.093
20,0.12
21,0.156
22,0.156
23,0.153
24,0.135
25,0.159
26,0.159
27,0.153
28,0.156
29,0.153
30,0.15
31,0.153
32,0.15
33,0.153
34,0.153
35,0.153
36,0.123
37,0.156
38,0.156
39,0.168
40,0.204
41,0.129
42,0.156
43,0.138
44,0.108
45,0.201
46,0.12
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0.147
73,0.183
74,0.186
75,0.141
76,0.15
77,0.156
78,0.15
79,0.153
80,0.165
81,0.156
82,0.15
83,0.153
84,0.156
85,0.144
86,0.15
87,0.141
88,0.15
89,0.162
90,0.084
91,0.153
92,0.153
93,0.147
94,0.147
95,0.129
96,0.09
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0.066
122,0.195
123,0.162
124,0.147
125,0.18
126,0.144
127,0.183
128,0.15
129,0.165
130,0.15
131,0.144
132,0.156
133,0.153
134,0.162
135,0.144
136,0.15
137,0.114
138,0.147
139,0.132
140,0.135
141,0.174
142,0.144
143,0.135
144,0.15
145,0.141
146,0.099
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0.108
174,0.168
175,0.168
176,0.192
177,0.144
178,0.15
179,0.15
180,0.141
181,0.177
182,0.168
183,0.132
184,0.15
185,0.135
186,0.144
187,0.147
188,0.096
189,0.144
190,0.144
191,0.135
192,0.108
193,0.138
194,0.144
195,0.087
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0.096
223,0.201
224,0.177
225,0.147
