Time,Power
1,0.069
2,0.114
3,0.081
4,0.114
5,0.084
6,0.111
7,0.111
8,0.096
9,0.102
10,0.105
11,0.099
12,0.102
13,0.105
14,0.111
15,0.096
16,0.093
17,0.054
18,0.054
19,0.078
20,0.084
21,0.081
22,0.078
23,0.072
24,0.072
25,0.051
26,0.078
27,0.06
28,0.075
29,0.06
30,0.054
31,0.054
32,0.051
33,0.063
34,0.081
35,0.114
36,0.147
37,0.117
38,0.054
39,0.081
40,0.075
41,0.075
42,0.051
43,0.084
44,0.075
45,0.075
46,0.099
47,0.111
48,0.09
49,0.072
50,0.078
51,0.087
52,0.072
53,0.081
54,0.072
55,0.075
56,0.075
57,0.051
58,0.081
59,0.069
60,0.066
61,0.078
62,0.066
63,0.069
64,0.066
65,0.066
66,0.063
67,0.057
68,0.048
69,0.072
70,0.042
71,0.051
72,0.048
73,0.051
74,0.045
75,0.042
76,0.048
77,0.048
78,0.048
79,0.048
80,0.045
81,0.051
82,0.066
83,0.063
84,0.066
85,0.057
86,0.06
87,0.06
88,0.057
89,0.057
90,0.063
91,0.066
92,0.066
93,0.045
94,0.051
95,0.057
96,0.048
97,0.048
98,0.06
99,0.057
100,0.06
101,0.054
102,0.042
