Time,Power
1,0.054
2,0.063
3,0.069
4,0.087
5,0.072
6,0.066
7,0.054
8,0.057
9,0.057
10,0.06
11,0.057
12,0.057
13,0.066
14,0.072
15,0.069
16,0.06
17,0.063
18,0.066
19,0.078
20,0.078
21,0.066
22,0.057
23,0.069
24,0.072
25,0.063
26,0.075
27,0.057
28,0.072
29,0.069
30,0.057
31,0.063
32,0.084
33,0.078
34,0.081
35,0.087
36,0.096
37,0.102
38,0.114
39,0.102
40,0.102
41,0.099
42,0.093
43,0.099
44,0.084
45,0.084
46,0.078
47,0.087
48,0.084
49,0.084
50,0.081
51,0.09
52,0.093
53,0.09
54,0.093
55,0.075
56,0.087
57,0.084
58,0.069
59,0.075
60,0.069
61,0.102
62,0.096
63,0.078
64,0.117
65,0.096
66,0.096
67,0.093
68,0.099
69,0.093
70,0.084
71,0.087
72,0.084
73,0.108
74,0.099
75,0.09
76,0.081
77,0.108
78,0.087
79,0.072
80,0.093
81,0.093
82,0.09
83,0.093
84,0.084
85,0.093
86,0.087
87,0.078
88,0.078
89,0.084
90,0.084
91,0.069
92,0.072
93,0.072
94,0.069
95,0.069
96,0.072
97,0.072
98,0.03
99,0.063
100,0.084
101,0.186
102,0.219
