Time,Power
1,0.354
2,0.393
3,0.423
4,0.432
5,0.246
6,0.417
7,0.447
8,0.42
9,0.435
10,0.498
11,0.498
12,0.486
13,0.447
14,0.438
15,0.429
16,0.408
17,0.435
18,0.435
19,0.441
20,0.423
21,0.435
22,0.453
23,0.462
24,0.426
25,0.42
26,0.435
27,0.06
28,0.021
29,0.021
30,0.021
31,0.021
32,0.021
33,0.117
34,0.126
35,0.021
36,0.024
37,0.135
38,0.117
39,0.021
40,0.021
41,0.138
42,0.021
43,0.021
44,0.021
45,0.018
46,0.021
47,0.018
48,0.021
49,0.021
50,0.021
51,0.018
52,0.021
53,0.021
54,0.021
55,0.021
56,0.021
57,0.021
58,0.021
59,0.021
60,0.078
61,0.021
62,0.021
63,0.021
64,0.057
65,0.063
66,0.405
67,0.42
68,0.429
69,0.441
70,0.258
71,0.468
72,0.447
73,0.471
74,0.429
75,0.441
76,0.423
77,0.291
78,0.372
79,0.423
80,0.42
81,0.117
82,0.021
83,0.021
84,0.021
85,0.021
86,0.021
87,0.033
88,0.153
89,0.021
90,0.024
91,0.132
92,0.132
93,0.024
94,0.021
95,0.123
96,0.021
97,0.021
98,0.021
99,0.021
100,0.021
101,0.021
102,0.021
103,0.021
104,0.021
105,0.024
106,0.021
107,0.021
108,0.021
109,0.021
110,0.021
111,0.021
112,0.018
113,0.021
114,0.021
115,0.021
116,0.021
117,0.024
118,0.021
119,0.021
120,0.024
121,0.024
122,0.021
123,0.021
124,0.021
125,0.087
126,0.021
127,0.021
128,0.021
129,0.021
130,0.039
131,0.075
132,0.021
133,0.021
134,0.021
135,0.054
136,0.033
