Time,Power,Class
295,0,fridge
296,0,fridge
297,0,fridge
298,0,fridge
299,0,fridge
300,0.186,fridge
301,0.174,fridge
302,0.189,fridge
303,0.174,fridge
304,0.093,fridge
305,0.12,fridge
306,0.156,fridge
307,0.156,fridge
308,0.153,fridge
309,0.135,fridge
310,0.159,fridge
311,0.159,fridge
312,0.153,fridge
313,0.156,fridge
314,0.153,fridge
315,0.15,fridge
316,0.153,fridge
317,0.15,fridge
318,0.153,fridge
319,0.153,fridge
320,0.153,fridge
321,0.123,fridge
322,0.156,fridge
323,0.156,fridge
324,0.168,fridge
325,0.204,fridge
326,0.129,fridge
327,0.156,fridge
328,0.138,fridge
329,0.108,fridge
330,0.201,fridge
331,0.12,fridge
332,0,fridge
333,0,fridge
334,0,fridge
335,0,fridge
336,0,fridge
337,0,fridge
338,0,fridge
339,0,fridge
340,0,fridge
341,0,fridge
342,0,fridge
343,0,fridge
344,0,fridge
345,0,fridge
346,0,fridge
347,0,fridge
348,0,fridge
349,0,fridge
350,0,fridge
351,0,fridge
352,0,fridge
353,0,fridge
354,0,fridge
355,0,fridge
356,0,fridge
357,0.147,fridge
358,0.183,fridge
359,0.186,fridge
360,0.141,fridge
361,0.15,fridge
362,0.156,fridge
363,0.15,fridge
364,0.153,fridge
365,0.165,fridge
366,0.156,fridge
367,0.15,fridge
368,0.153,fridge
369,0.156,fridge
370,0.144,fridge
371,0.15,fridge
372,0.141,fridge
373,0.15,fridge
374,0.162,fridge
375,0.084,fridge
376,0.153,fridge
377,0.153,fridge
378,0.147,fridge
379,0.147,fridge
380,0.129,fridge
381,0.09,fridge
382,0,fridge
383,0,fridge
384,0,fridge
385,0,fridge
386,0,fridge
387,0,fridge
388,0,fridge
389,0,fridge
390,0,fridge
391,0,fridge
392,0,fridge
393,0,fridge
394,0,fridge
395,0,fridge
396,0,fridge
397,0,fridge
398,0,fridge
399,0,fridge
400,0,fridge
401,0,fridge
402,0,fridge
403,0,fridge
404,0,fridge
405,0,fridge
406,0.066,fridge
407,0.195,fridge
408,0.162,fridge
409,0.147,fridge
410,0.18,fridge
411,0.144,fridge
412,0.183,fridge
413,0.15,fridge
414,0.165,fridge
415,0.15,fridge
416,0.144,fridge
417,0.156,fridge
418,0.153,fridge
419,0.162,fridge
420,0.144,fridge
421,0.15,fridge
422,0.114,fridge
423,0.147,fridge
424,0.132,fridge
425,0.135,fridge
426,0.174,fridge
427,0.144,fridge
428,0.135,fridge
429,0.15,fridge
430,0.141,fridge
431,0.099,fridge
432,0,fridge
433,0,fridge
434,0,fridge
435,0,fridge
436,0,fridge
437,0,fridge
438,0,fridge
439,0,fridge
440,0,fridge
441,0,fridge
442,0,fridge
443,0,fridge
444,0,fridge
445,0,fridge
446,0,fridge
447,0,fridge
448,0,fridge
449,0,fridge
450,0,fridge
451,0,fridge
452,0,fridge
453,0,fridge
454,0,fridge
455,0,fridge
456,0,fridge
457,0,fridge
458,0.108,fridge
459,0.168,fridge
460,0.168,fridge
461,0.192,fridge
462,0.144,fridge
463,0.15,fridge
464,0.15,fridge
465,0.141,fridge
466,0.177,fridge
467,0.168,fridge
468,0.132,fridge
469,0.15,fridge
470,0.135,fridge
471,0.144,fridge
472,0.147,fridge
473,0.096,fridge
474,0.144,fridge
475,0.144,fridge
476,0.135,fridge
477,0.108,fridge
478,0.138,fridge
479,0.144,fridge
480,0.087,fridge
481,0,fridge
482,0,fridge
483,0,fridge
484,0,fridge
485,0,fridge
486,0,fridge
487,0,fridge
488,0,fridge
489,0,fridge
490,0,fridge
491,0,fridge
492,0,fridge
493,0,fridge
494,0,fridge
495,0,fridge
496,0,fridge
497,0,fridge
498,0,fridge
499,0,fridge
500,0,fridge
501,0,fridge
502,0,fridge
503,0,fridge
504,0,fridge
505,0,fridge
506,0,fridge
507,0.096,fridge
508,0.201,fridge
509,0.177,fridge
510,0.147,fridge
511,0.165,fridge
512,0.123,fridge
513,0.147,fridge
514,0.171,fridge
515,0.147,fridge
516,0.153,fridge
517,0.147,fridge
518,0.153,fridge
519,0.15,fridge
520,0.141,fridge
521,0.129,fridge
522,0.144,fridge
523,0.153,fridge
524,0.147,fridge
525,0.084,fridge
526,0.144,fridge
527,0.123,fridge
528,0.111,fridge
529,0.039,fridge
530,0,fridge
531,0,fridge
532,0,fridge
533,0,fridge
